id;number;name;expiration;code;dni;company_id;users_id
1;35420;Soluciones Pequeño generate;2022-11-08;39033;86629;1;1
2;86306;iterate Camiseta;2022-11-07;23083;67494;2;2
3;65591;País Buckinghamshire;2022-11-07;26410;41086;3;3
4;20062;Central Director;2022-11-08;89928;45756;4;4
5;92661;redundant valor;2022-11-07;66773;64266;5;5
6;91230;overriding Artesanal Bacon;2022-11-08;13869;51921;6;6
7;76006;Shilling SSL metodologías;2022-11-07;65740;29838;7;7
8;39006;payment Poblado;2022-11-08;94339;36421;8;8
9;13117;Moda Hormigon;2022-11-07;29128;81088;9;9
10;90404;card port Gabón;2022-11-08;36790;67777;10;10
